genome_id,pattern_idx,pattern,time_s,mem_gb,precision,recall,f1
GCF_048571295.1_ASM4857129v1_genomic.fna,478,##_#####__#__#__#_#_#__##_#_#_###__#__##__#_#__#_#__,56.69,12.09,0.0419,0.8288,0.0798
GCF_048571295.1_ASM4857129v1_genomic.fna,488,#__#__##_#_##_#_##__#__#__#_#_##__####__#_#__####_,56.37,11.82,0.0416,0.8151,0.0792
GCF_048571295.1_ASM4857129v1_genomic.fna,498,#_#__##__#_#_##__#__##_##__#_##__#__#__#_#__#__#__,52.45,9.38,0.0420,0.8219,0.0799
GCF_049264865.1_ASM4926486v1_genomic.fna,8,#_________,21.86,4.40,0.0580,0.8421,0.1085
GCF_049264865.1_ASM4926486v1_genomic.fna,18,#___________________,16.99,3.33,0.0000,0.0000,0.0000
GCF_049264865.1_ASM4926486v1_genomic.fna,28,#_____________________________,14.11,2.75,0.0000,0.0000,0.0000
GCF_049264865.1_ASM4926486v1_genomic.fna,38,##_________,25.69,4.96,0.0597,0.6053,0.1087
GCF_049264865.1_ASM4926486v1_genomic.fna,48,##___________________,16.05,3.33,0.0000,0.0000,0.0000
GCF_049264865.1_ASM4926486v1_genomic.fna,58,##_____________________________,17.33,3.33,0.0000,0.0000,0.0000
GCF_049264865.1_ASM4926486v1_genomic.fna,68,###_________,32.61,7.13,0.0513,0.7566,0.0961
GCF_049264865.1_ASM4926486v1_genomic.fna,78,###___________________,23.34,4.40,0.0465,0.3618,0.0824
GCF_049264865.1_ASM4926486v1_genomic.fna,88,###_____________________________,19.27,4.40,0.0465,0.3618,0.0824
GCF_049264865.1_ASM4926486v1_genomic.fna,98,####_________,39.59,8.60,0.0468,0.8092,0.0885
GCF_049264865.1_ASM4926486v1_genomic.fna,108,####___________________,25.61,4.96,0.0458,0.5263,0.0843
GCF_049264865.1_ASM4926486v1_genomic.fna,118,####_____________________________,29.22,4.96,0.0458,0.5263,0.0843
GCF_049264865.1_ASM4926486v1_genomic.fna,128,#####_________,50.54,9.38,0.0439,0.7961,0.0832
GCF_049264865.1_ASM4926486v1_genomic.fna,138,#####___________________,33.33,5.71,0.0486,0.6447,0.0904
GCF_049264865.1_ASM4926486v1_genomic.fna,148,#####_____________________________,29.15,5.71,0.0486,0.6447,0.0904
GCF_049264865.1_ASM4926486v1_genomic.fna,158,######_________,49.49,12.09,0.0437,0.7961,0.0829
GCF_049264865.1_ASM4926486v1_genomic.fna,168,######___________________,36.01,7.13,0.0496,0.7171,0.0928
GCF_049264865.1_ASM4926486v1_genomic.fna,178,######_____________________________,32.81,7.13,0.0496,0.7171,0.0928
GCF_049264865.1_ASM4926486v1_genomic.fna,188,#######_________,50.45,12.09,0.0446,0.8026,0.0845
GCF_049264865.1_ASM4926486v1_genomic.fna,198,#######___________________,38.79,7.44,0.0501,0.7763,0.0941
GCF_049264865.1_ASM4926486v1_genomic.fna,208,#######_____________________________,36.18,7.44,0.0501,0.7763,0.0941
GCF_049264865.1_ASM4926486v1_genomic.fna,218,########_________,53.63,12.06,0.0464,0.8158,0.0878
GCF_049264865.1_ASM4926486v1_genomic.fna,228,########___________________,40.28,7.77,0.0501,0.8158,0.0944
GCF_049264865.1_ASM4926486v1_genomic.fna,238,########_____________________________,39.20,7.76,0.0501,0.8158,0.0944
GCF_049264865.1_ASM4926486v1_genomic.fna,248,#########_________,52.97,11.78,0.0493,0.8289,0.0931
GCF_049264865.1_ASM4926486v1_genomic.fna,258,#########___________________,42.22,8.68,0.0493,0.8289,0.0931
GCF_049264865.1_ASM4926486v1_genomic.fna,268,#########_____________________________,43.75,8.71,0.0493,0.8289,0.0931
GCF_049264865.1_ASM4926486v1_genomic.fna,278,##########_________,53.74,12.08,0.0483,0.8355,0.0913
GCF_049264865.1_ASM4926486v1_genomic.fna,288,##########___________________,53.83,9.36,0.0483,0.8355,0.0913
GCF_049264865.1_ASM4926486v1_genomic.fna,298,##########_____________________________,51.99,9.37,0.0483,0.8355,0.0913
GCF_049264865.1_ASM4926486v1_genomic.fna,308,###########_________,58.82,12.14,0.0455,0.8355,0.0863
GCF_049264865.1_ASM4926486v1_genomic.fna,318,###########___________________,58.26,11.82,0.0455,0.8355,0.0863
GCF_049264865.1_ASM4926486v1_genomic.fna,328,###########_____________________________,61.05,11.83,0.0455,0.8355,0.0863
GCF_049264865.1_ASM4926486v1_genomic.fna,338,############_________,64.98,12.15,0.0452,0.8355,0.0858
GCF_049264865.1_ASM4926486v1_genomic.fna,348,############___________________,60.43,12.15,0.0452,0.8355,0.0858
GCF_049264865.1_ASM4926486v1_genomic.fna,358,############_____________________________,66.82,12.15,0.0452,0.8355,0.0858
GCF_049264865.1_ASM4926486v1_genomic.fna,368,#############_________,64.23,12.48,0.0443,0.8355,0.0841
GCF_049264865.1_ASM4926486v1_genomic.fna,378,#############___________________,66.62,12.49,0.0443,0.8355,0.0841
GCF_049264865.1_ASM4926486v1_genomic.fna,388,#############_____________________________,64.73,12.47,0.0443,0.8355,0.0841
GCF_049264865.1_ASM4926486v1_genomic.fna,398,##############_________,68.64,12.78,0.0434,0.8355,0.0825
GCF_049264865.1_ASM4926486v1_genomic.fna,408,##############___________________,73.55,12.80,0.0434,0.8355,0.0825
GCF_049264865.1_ASM4926486v1_genomic.fna,418,##############_____________________________,64.89,12.81,0.0434,0.8355,0.0825
GCF_049264865.1_ASM4926486v1_genomic.fna,428,###############_________,68.70,13.13,0.0426,0.8289,0.0810
GCF_049264865.1_ASM4926486v1_genomic.fna,438,###############___________________,67.65,13.13,0.0426,0.8289,0.0810
GCF_049264865.1_ASM4926486v1_genomic.fna,448,###############_____________________________,66.90,13.14,0.0426,0.8289,0.0810
GCF_049264865.1_ASM4926486v1_genomic.fna,458,##__##__#_##_##__#_#__##__#__#__#_#__#__#_#_##_###_,60.53,11.77,0.0442,0.8355,0.0840
GCF_049264865.1_ASM4926486v1_genomic.fna,468,##__##_#__##__####_##_#__#__###_#_#_###_####_####_,60.92,12.48,0.0434,0.8355,0.0825
GCF_049264865.1_ASM4926486v1_genomic.fna,478,##_#####__#__#__#_#_#__##_#_#_###__#__##__#_#__#_#__,59.75,12.08,0.0441,0.8355,0.0838
GCF_049264865.1_ASM4926486v1_genomic.fna,488,#__#__##_#_##_#_##__#__#__#_#_##__####__#_#__####_,57.28,11.83,0.0443,0.8289,0.0841
GCF_049264865.1_ASM4926486v1_genomic.fna,498,#_#__##__#_#_##__#__##_##__#_##__#__#__#_#__#__#__,55.21,9.37,0.0435,0.8158,0.0826
GCF_963575795.1_GENOMIC21-004_genomic.fna,8,#_________,21.51,4.40,0.0649,0.8675,0.1208
GCF_963575795.1_GENOMIC21-004_genomic.fna,18,#___________________,15.30,3.33,0.0000,0.0000,0.0000
GCF_963575795.1_GENOMIC21-004_genomic.fna,28,#_____________________________,12.08,2.75,0.0000,0.0000,0.0000
GCF_963575795.1_GENOMIC21-004_genomic.fna,38,##_________,19.70,4.97,0.0648,0.6145,0.1172
GCF_963575795.1_GENOMIC21-004_genomic.fna,48,##___________________,15.07,3.33,0.0000,0.0000,0.0000
GCF_963575795.1_GENOMIC21-004_genomic.fna,58,##_____________________________,15.64,3.33,0.0000,0.0000,0.0000
GCF_963575795.1_GENOMIC21-004_genomic.fna,68,###_________,33.74,7.13,0.0564,0.7530,0.1049
GCF_963575795.1_GENOMIC21-004_genomic.fna,78,###___________________,21.01,4.40,0.0486,0.3494,0.0853
GCF_963575795.1_GENOMIC21-004_genomic.fna,88,###_____________________________,23.57,4.40,0.0486,0.3494,0.0853
GCF_963575795.1_GENOMIC21-004_genomic.fna,98,####_________,44.14,8.59,0.0525,0.8313,0.0988
GCF_963575795.1_GENOMIC21-004_genomic.fna,108,####___________________,26.79,4.96,0.0532,0.5422,0.0969
GCF_963575795.1_GENOMIC21-004_genomic.fna,118,####_____________________________,26.07,4.96,0.0532,0.5422,0.0969
GCF_963575795.1_GENOMIC21-004_genomic.fna,128,#####_________,39.00,9.38,0.0497,0.8133,0.0937
GCF_963575795.1_GENOMIC21-004_genomic.fna,138,#####___________________,22.37,5.74,0.0523,0.6205,0.0965
GCF_963575795.1_GENOMIC21-004_genomic.fna,148,#####_____________________________,23.32,5.74,0.0523,0.6205,0.0965
GCF_963575795.1_GENOMIC21-004_genomic.fna,158,######_________,40.84,12.09,0.0496,0.8193,0.0935
