genome_id,pattern_idx,pattern,time_s,mem_gb,precision,recall,f1
GCF_048571295.1_ASM4857129v1_genomic.fna,0,#_,48.14,11.76,0.0407,0.8219,0.0776
GCF_048571295.1_ASM4857129v1_genomic.fna,10,#___________,18.15,3.56,0.0519,0.3836,0.0914
GCF_048571295.1_ASM4857129v1_genomic.fna,20,#_____________________,13.14,2.75,0.0000,0.0000,0.0000
GCF_048571295.1_ASM4857129v1_genomic.fna,30,##_,54.27,12.80,0.0410,0.8288,0.0781
GCF_048571295.1_ASM4857129v1_genomic.fna,40,##___________,24.05,4.95,0.0532,0.5822,0.0975
GCF_048571295.1_ASM4857129v1_genomic.fna,50,##_____________________,15.26,3.33,0.0000,0.0000,0.0000
GCF_048571295.1_ASM4857129v1_genomic.fna,60,###_,59.11,13.45,0.0387,0.8219,0.0739
GCF_048571295.1_ASM4857129v1_genomic.fna,70,###___________,31.76,7.12,0.0446,0.6986,0.0838
GCF_048571295.1_ASM4857129v1_genomic.fna,80,###_____________________,20.49,4.40,0.0433,0.3630,0.0774
GCF_048571295.1_ASM4857129v1_genomic.fna,90,####_,62.66,13.77,0.0382,0.8219,0.0730
GCF_048571295.1_ASM4857129v1_genomic.fna,100,####___________,37.22,7.76,0.0456,0.7808,0.0862
GCF_048571295.1_ASM4857129v1_genomic.fna,110,####_____________________,24.79,4.96,0.0494,0.5890,0.0912
GCF_048571295.1_ASM4857129v1_genomic.fna,120,#####_,66.12,14.11,0.0390,0.8219,0.0745
GCF_048571295.1_ASM4857129v1_genomic.fna,130,#####___________,41.18,8.41,0.0464,0.8014,0.0877
GCF_048571295.1_ASM4857129v1_genomic.fna,140,#####_____________________,29.16,5.71,0.0501,0.6849,0.0934
GCF_048571295.1_ASM4857129v1_genomic.fna,150,######_,64.90,14.10,0.0382,0.8219,0.0730
GCF_048571295.1_ASM4857129v1_genomic.fna,160,######___________,41.18,8.41,0.0469,0.7808,0.0885
GCF_048571295.1_ASM4857129v1_genomic.fna,170,######_____________________,33.99,7.12,0.0479,0.7123,0.0898
GCF_048571295.1_ASM4857129v1_genomic.fna,180,#######_,78.85,14.44,0.0381,0.8219,0.0728
GCF_048571295.1_ASM4857129v1_genomic.fna,190,#######___________,51.02,8.41,0.0491,0.7740,0.0923
GCF_048571295.1_ASM4857129v1_genomic.fna,200,#######_____________________,43.57,7.44,0.0491,0.7740,0.0923
GCF_048571295.1_ASM4857129v1_genomic.fna,210,########_,79.81,14.44,0.0386,0.8219,0.0737
GCF_048571295.1_ASM4857129v1_genomic.fna,220,########___________,42.01,8.41,0.0488,0.8082,0.0920
GCF_048571295.1_ASM4857129v1_genomic.fna,230,########_____________________,39.17,7.76,0.0488,0.8082,0.0920
GCF_048571295.1_ASM4857129v1_genomic.fna,240,#########_,73.42,14.48,0.0378,0.8219,0.0723
GCF_048571295.1_ASM4857129v1_genomic.fna,250,#########___________,44.67,9.03,0.0472,0.8082,0.0892
GCF_048571295.1_ASM4857129v1_genomic.fna,260,#########_____________________,44.18,8.70,0.0472,0.8082,0.0892
GCF_048571295.1_ASM4857129v1_genomic.fna,270,##########_,81.52,14.81,0.0383,0.8219,0.0732
GCF_048571295.1_ASM4857129v1_genomic.fna,280,##########___________,52.42,9.37,0.0459,0.8151,0.0869
GCF_048571295.1_ASM4857129v1_genomic.fna,290,##########_____________________,52.41,9.35,0.0459,0.8151,0.0869
GCF_048571295.1_ASM4857129v1_genomic.fna,300,###########_,80.04,14.78,0.0378,0.8219,0.0723
GCF_048571295.1_ASM4857129v1_genomic.fna,310,###########___________,45.58,11.84,0.0432,0.8219,0.0821
GCF_048571295.1_ASM4857129v1_genomic.fna,320,###########_____________________,43.53,11.84,0.0432,0.8219,0.0821
GCF_048571295.1_ASM4857129v1_genomic.fna,330,############_,65.07,14.79,0.0379,0.8219,0.0725
GCF_048571295.1_ASM4857129v1_genomic.fna,340,############___________,49.48,12.16,0.0429,0.8219,0.0815
GCF_048571295.1_ASM4857129v1_genomic.fna,350,############_____________________,57.62,12.16,0.0429,0.8219,0.0815
GCF_048571295.1_ASM4857129v1_genomic.fna,360,#############_,79.95,14.77,0.0380,0.8219,0.0726
GCF_048571295.1_ASM4857129v1_genomic.fna,370,#############___________,59.52,12.49,0.0416,0.8219,0.0792
GCF_048571295.1_ASM4857129v1_genomic.fna,380,#############_____________________,60.31,12.48,0.0416,0.8219,0.0792
GCF_048571295.1_ASM4857129v1_genomic.fna,390,##############_,75.96,14.81,0.0379,0.8219,0.0725
GCF_048571295.1_ASM4857129v1_genomic.fna,400,##############___________,56.78,12.81,0.0408,0.8219,0.0777
GCF_048571295.1_ASM4857129v1_genomic.fna,410,##############_____________________,60.51,12.80,0.0408,0.8219,0.0777
GCF_048571295.1_ASM4857129v1_genomic.fna,420,###############_,81.24,14.79,0.0380,0.8219,0.0726
GCF_048571295.1_ASM4857129v1_genomic.fna,430,###############___________,60.68,13.15,0.0402,0.8219,0.0767
GCF_048571295.1_ASM4857129v1_genomic.fna,440,###############_____________________,63.65,13.13,0.0402,0.8219,0.0767
GCF_048571295.1_ASM4857129v1_genomic.fna,450,##_#_#_##__#_##__#_#_#__#_#__###_#__#_#__##__#__##__,50.81,11.77,0.0428,0.8219,0.0814
GCF_048571295.1_ASM4857129v1_genomic.fna,460,#_##_##__#__#__##__#_#_##__#_#_#_#__##__#__#__#__#_,49.02,9.38,0.0419,0.8151,0.0797
GCF_048571295.1_ASM4857129v1_genomic.fna,470,#_#__#__#__#__#_#__#__###__#__##_#__##__#_#_##_#__,44.53,8.13,0.0416,0.7877,0.0790
GCF_048571295.1_ASM4857129v1_genomic.fna,480,#_#__#__##_##_#__##_##__##__#__#_#__##_#__#_###__#_,57.58,11.77,0.0414,0.8151,0.0788
GCF_048571295.1_ASM4857129v1_genomic.fna,490,#__#__##_##_#__##__#__####__#_##_#_#_#_#_##__#__##_,41.75,9.38,0.0422,0.8288,0.0803
GCF_049264865.1_ASM4926486v1_genomic.fna,0,#_,51.39,11.77,0.0425,0.8289,0.0809
GCF_049264865.1_ASM4926486v1_genomic.fna,10,#___________,21.16,3.56,0.0615,0.4342,0.1077
GCF_049264865.1_ASM4926486v1_genomic.fna,20,#_____________________,13.58,2.75,0.0000,0.0000,0.0000
GCF_049264865.1_ASM4926486v1_genomic.fna,30,##_,62.52,12.81,0.0431,0.8355,0.0820
GCF_049264865.1_ASM4926486v1_genomic.fna,40,##___________,24.88,4.96,0.0548,0.5789,0.1001
GCF_049264865.1_ASM4926486v1_genomic.fna,50,##_____________________,17.78,3.33,0.0000,0.0000,0.0000
GCF_049264865.1_ASM4926486v1_genomic.fna,60,###_,58.53,13.46,0.0405,0.8289,0.0772
GCF_049264865.1_ASM4926486v1_genomic.fna,70,###___________,34.34,7.12,0.0464,0.7039,0.0871
