genome_id,pattern_idx,pattern,time_s,mem_gb,precision,recall,f1
GCF_048571295.1_ASM4857129v1_genomic.fna,19,#____________________,13.72,2.75,0.0000,0.0000,0.0000
GCF_048571295.1_ASM4857129v1_genomic.fna,29,#______________________________,13.91,2.75,0.0000,0.0000,0.0000
GCF_048571295.1_ASM4857129v1_genomic.fna,39,##__________,24.04,4.95,0.0525,0.5616,0.0960
GCF_048571295.1_ASM4857129v1_genomic.fna,49,##____________________,15.35,3.33,0.0000,0.0000,0.0000
GCF_048571295.1_ASM4857129v1_genomic.fna,59,##______________________________,15.48,3.33,0.0000,0.0000,0.0000
GCF_048571295.1_ASM4857129v1_genomic.fna,69,###__________,32.63,7.12,0.0483,0.7603,0.0908
GCF_048571295.1_ASM4857129v1_genomic.fna,79,###____________________,21.32,4.40,0.0433,0.3630,0.0774
GCF_048571295.1_ASM4857129v1_genomic.fna,89,###______________________________,20.74,4.40,0.0433,0.3630,0.0774
GCF_048571295.1_ASM4857129v1_genomic.fna,99,####__________,37.81,8.55,0.0438,0.7808,0.0829
GCF_048571295.1_ASM4857129v1_genomic.fna,109,####____________________,25.28,4.96,0.0494,0.5890,0.0912
GCF_048571295.1_ASM4857129v1_genomic.fna,119,####______________________________,23.29,4.96,0.0494,0.5890,0.0912
GCF_048571295.1_ASM4857129v1_genomic.fna,129,#####__________,42.03,9.22,0.0445,0.8014,0.0843
GCF_048571295.1_ASM4857129v1_genomic.fna,139,#####____________________,28.84,5.69,0.0501,0.6849,0.0934
GCF_048571295.1_ASM4857129v1_genomic.fna,149,#####______________________________,28.99,5.67,0.0501,0.6849,0.0934
GCF_048571295.1_ASM4857129v1_genomic.fna,159,######__________,44.65,11.58,0.0445,0.8014,0.0843
GCF_048571295.1_ASM4857129v1_genomic.fna,169,######____________________,32.45,7.12,0.0479,0.7123,0.0898
GCF_048571295.1_ASM4857129v1_genomic.fna,179,######______________________________,32.85,7.11,0.0479,0.7123,0.0898
GCF_048571295.1_ASM4857129v1_genomic.fna,189,#######__________,44.78,10.94,0.0473,0.8151,0.0894
GCF_048571295.1_ASM4857129v1_genomic.fna,199,#######____________________,34.07,7.44,0.0491,0.7740,0.0923
GCF_048571295.1_ASM4857129v1_genomic.fna,209,#######______________________________,35.15,7.44,0.0491,0.7740,0.0923
GCF_048571295.1_ASM4857129v1_genomic.fna,219,########__________,44.16,10.80,0.0488,0.8082,0.0920
GCF_048571295.1_ASM4857129v1_genomic.fna,229,########____________________,36.49,7.77,0.0488,0.8082,0.0920
GCF_048571295.1_ASM4857129v1_genomic.fna,239,########______________________________,38.21,7.76,0.0488,0.8082,0.0920
GCF_048571295.1_ASM4857129v1_genomic.fna,249,#########__________,52.05,11.42,0.0472,0.8082,0.0892
GCF_048571295.1_ASM4857129v1_genomic.fna,259,#########____________________,45.46,8.71,0.0472,0.8082,0.0892
GCF_048571295.1_ASM4857129v1_genomic.fna,269,#########______________________________,45.57,8.71,0.0472,0.8082,0.0892
GCF_048571295.1_ASM4857129v1_genomic.fna,279,##########__________,55.53,11.73,0.0459,0.8151,0.0869
GCF_048571295.1_ASM4857129v1_genomic.fna,289,##########____________________,49.82,9.36,0.0459,0.8151,0.0869
GCF_048571295.1_ASM4857129v1_genomic.fna,299,##########______________________________,43.18,9.37,0.0459,0.8151,0.0869
GCF_048571295.1_ASM4857129v1_genomic.fna,309,###########__________,49.91,11.84,0.0432,0.8219,0.0821
GCF_048571295.1_ASM4857129v1_genomic.fna,319,###########____________________,53.51,11.82,0.0432,0.8219,0.0821
GCF_048571295.1_ASM4857129v1_genomic.fna,329,###########______________________________,47.89,11.84,0.0432,0.8219,0.0821
GCF_048571295.1_ASM4857129v1_genomic.fna,339,############__________,53.38,12.16,0.0429,0.8219,0.0815
GCF_048571295.1_ASM4857129v1_genomic.fna,349,############____________________,59.65,12.15,0.0429,0.8219,0.0815
GCF_048571295.1_ASM4857129v1_genomic.fna,359,############______________________________,61.52,12.14,0.0429,0.8219,0.0815
GCF_048571295.1_ASM4857129v1_genomic.fna,369,#############__________,63.73,12.49,0.0416,0.8219,0.0792
GCF_048571295.1_ASM4857129v1_genomic.fna,379,#############____________________,56.73,12.48,0.0416,0.8219,0.0792
GCF_048571295.1_ASM4857129v1_genomic.fna,389,#############______________________________,52.14,12.50,0.0416,0.8219,0.0792
GCF_048571295.1_ASM4857129v1_genomic.fna,399,##############__________,49.14,12.80,0.0408,0.8219,0.0777
GCF_048571295.1_ASM4857129v1_genomic.fna,409,##############____________________,49.24,12.81,0.0408,0.8219,0.0777
GCF_048571295.1_ASM4857129v1_genomic.fna,419,##############______________________________,51.30,12.80,0.0408,0.8219,0.0777
GCF_048571295.1_ASM4857129v1_genomic.fna,429,###############__________,62.04,13.15,0.0402,0.8219,0.0767
GCF_048571295.1_ASM4857129v1_genomic.fna,439,###############____________________,62.89,13.13,0.0402,0.8219,0.0767
GCF_048571295.1_ASM4857129v1_genomic.fna,449,###############______________________________,64.95,13.13,0.0402,0.8219,0.0767
GCF_048571295.1_ASM4857129v1_genomic.fna,459,#__#_#__##__#__#__#_##__#_#_#__###_#_##_#_#__#__#_,45.02,8.11,0.0445,0.7945,0.0843
GCF_048571295.1_ASM4857129v1_genomic.fna,469,##__##_#__#_#__#__#__#__#__#######__##__#_#__#__##__,43.66,8.10,0.0436,0.8288,0.0828
GCF_048571295.1_ASM4857129v1_genomic.fna,479,##_#_#_#_#__###__#_#__#_#_##__##__#_##_#_#_#_#_#_#__,55.73,11.76,0.0433,0.8219,0.0823
GCF_048571295.1_ASM4857129v1_genomic.fna,489,####_#_##__##__#__##_##_#_###__#_#_#_#__##__##_###_,56.21,12.09,0.0416,0.8014,0.0791
GCF_048571295.1_ASM4857129v1_genomic.fna,499,##_#_######_#_#__#_###_#__####_#__#__#__#__#__#__#__,63.86,12.80,0.0410,0.8288,0.0781
